Report ID,datetime,hour,weekday,day_night,Crime Type,crime_category,Description,Status,Location,Full Address,Latitude,Longitude
252005,2025-04-22 08:00:00,8,Tuesday,Day,Fraud,Other,FALSE GOVERNMENT ISSUED IDENTIFICATION,OPEN CASE,EIGENMANN HALL,"EIGENMANN HALL, Bloomington, IN",39.1711586,-86.5088046
252004,2025-03-31 11:30:00,11,Monday,Day,Theft,Theft,THEFT FROM BUILDING LESS THAN $750,OPEN CASE,MCNUTT QUAD,"MCNUTT QUAD, Bloomington, IN",39.1762905,-86.5201909
251997,2025-04-12 22:00:00,22,Saturday,Night,Larceny,Larceny,ILLEGAL CONSUMPTION/POSSESSION OF ALCOHOL BY MINOR X2,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,FOREST QUAD,"FOREST QUAD, Bloomington, IN",39.164555,-86.5129405
251996,2025-04-12 22:15:00,22,Saturday,Night,Larceny,Larceny,ILLEGAL CONSUMPTION/POSSESSION OF ALCOHOL BY MINOR X2,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,BRISCOE QUAD,"BRISCOE QUAD, Bloomington, IN",39.1784385,-86.5199643
251995,2025-04-12 22:15:00,22,Saturday,Night,Larceny,Larceny,ILLEGAL CONSUMPTION/POSSESSION OF ALCOHOL BY MINOR X5,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,WILLKIE MASON HALL,"WILLKIE MASON HALL, Bloomington, IN",39.1678814,-86.5099583
251994,2025-04-08 00:30:00,0,Tuesday,Night,Larceny,Larceny,ILLEGAL CONSUMPTION/POSSESSION OF ALCOHOL BY MINOR,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,FOREST QUAD,"FOREST QUAD, Bloomington, IN",39.164555,-86.5129405
251993,2025-04-14 21:15:00,21,Monday,Night,Larceny,Larceny,ODOR OF MARIJUANA,FAILED TO LOCATE,FOREST QUAD,"FOREST QUAD, Bloomington, IN",39.164555,-86.5129405
251991,2025-04-21 12:00:00,12,Monday,Day,Larceny,Larceny,POSSESSION MARIJUANA/HASH OIL/HASHISH/SALVIA,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,MCNUTT QUAD,"MCNUTT QUAD, Bloomington, IN",39.1762905,-86.5201909
251989,2025-04-21 18:07:00,18,Monday,Night,Theft,Theft,THEFT FROM BUILDING LESS THAN $750,OPEN CASE,SRSC,"SRSC, Bloomington, IN",39.1735239,-86.5124023
251988,2025-04-21 00:00:00,0,Monday,Night,Trespassing,Other,UNLAWFUL ENTRY OF MOTOR VEHICLE,OPEN CASE,13TH STREET PARKING LOT,"13TH STREET PARKING LOT, Bloomington, IN",39.1751984,-86.5235641
251987,2025-04-21 19:09:00,19,Monday,Night,Stalking,Stalking,STALKING - CLERY,OPEN CASE,11TH STREET/WEST OF EAGLESON,"11TH STREET/WEST OF EAGLESON, Bloomington, IN",39.173445,-86.5258245
251981,2025-04-21 14:50:00,14,Monday,Day,Theft,Theft,THEFT FROM BUILDING LESS THAN $750,OPEN CASE,BILL GARRETT FIELDHOUSE,"BILL GARRETT FIELDHOUSE, Bloomington, IN",39.1692551,-86.5208279
251980,2025-04-21 14:20:00,14,Monday,Day,Misdemeanor,Misdemeanor,LEAVING THE SCENE OF A PROPERTY DAMAGE CRASH,OPEN CASE,10TH STREET/WEST OF EAGLESON,"10TH STREET/WEST OF EAGLESON, Bloomington, IN",39.1670668,-86.5160631
251979,2025-04-21 00:00:00,0,Monday,Night,Theft,Theft,"THEFT FROM MOTOR VEHICLE $750-$49,999",OPEN CASE,ALL OTHER PARKING AREAS - BLOOMINGTON,"ALL OTHER PARKING AREAS - BLOOMINGTON, Bloomington, IN",39.169574,-86.5385549
251976,2025-04-16 12:41:00,12,Wednesday,Day,Theft,Other,BURGLARY,OPEN CASE,ALPHA SIGMA PHI,"ALPHA SIGMA PHI, Bloomington, IN",39.1838841,-86.5141009
251975,2025-02-13 08:00:00,8,Thursday,Day,Theft,Theft,"ALL OTHER THEFT $750-$49,999",OPEN CASE,HEALTH SCIENCES BUILDING,"HEALTH SCIENCES BUILDING, Bloomington, IN",39.1757771,-86.5032598
251950,2025-04-20 03:18:00,3,Sunday,Night,Misdemeanor,Other,OPERATING WITHOUT EVER OBTAINING LICENSE,SUSPECT ARRESTED,10TH STREET/EAST OF EAGLESON,"10TH STREET/EAST OF EAGLESON, Bloomington, IN",39.169574,-86.5385549
251949,2025-04-19 22:20:00,22,Saturday,Night,Misdemeanour,Other,MALICIOUS MISCHIEF USING BODILY WASTE,SUSPECT ISSUED TRESPASS WARNING,TAU EPSILON PHI,"TAU EPSILON PHI, Bloomington, IN",39.1728449,-86.5292036
251949,2025-04-19 22:20:00,22,Saturday,Night,Larceny,Larceny,ILLEGAL CONSUMPTION/POSSESSION OF ALCOHOL BY MINOR,SUSPECT ISSUED TRESPASS WARNING,TAU EPSILON PHI,"TAU EPSILON PHI, Bloomington, IN",39.1728449,-86.5292036
251947,2025-04-19 18:00:00,18,Saturday,Night,Misdemeanor,Misdemeanor,LEAVING THE SCENE OF A PROPERTY DAMAGE CRASH,NO ARREST,PRESIDENTS LOT,"PRESIDENTS LOT, Bloomington, IN",39.169574,-86.5385549
251946,2025-04-17 14:00:00,14,Thursday,Day,Theft,Theft,ALL OTHER THEFT LESS THAN $750,OPEN CASE,ST. PAUL'S CATHOLIC CENTER,"ST. PAUL'S CATHOLIC CENTER, Bloomington, IN",39.1791651,-86.5146828
251942,2025-04-19 15:00:00,15,Saturday,Day,Trespassing,Trespassing,CRIMINAL TRESPASS,SUSPECT ARRESTED,BILL GARRETT FIELDHOUSE,"BILL GARRETT FIELDHOUSE, Bloomington, IN",39.1692551,-86.5208279
251942,2025-04-19 15:00:00,15,Saturday,Day,Larceny,Larceny,POSSESSION MARIJUANA/HASH OIL/HASHISH/SALVIA,NO ARREST,BILL GARRETT FIELDHOUSE,"BILL GARRETT FIELDHOUSE, Bloomington, IN",39.1692551,-86.5208279
251939,2025-04-18 22:00:00,22,Friday,Night,Larceny,Larceny,ILLEGAL CONSUMPTION/POSSESSION OF ALCOHOL BY MINOR,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,ASHTON VOS HALL,"ASHTON VOS HALL, Bloomington, IN",39.17079,-86.511783
251939,2025-04-18 22:00:00,22,Friday,Night,Larceny,Other,PROVIDING ALCOHOL TO A MINOR,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,TAU EPSILON PHI,"TAU EPSILON PHI, Bloomington, IN",39.1728449,-86.5292036
251930,2025-04-18 11:00:00,11,Friday,Day,Theft,Other,BURGLARY,OPEN CASE,EIGENMANN HALL,"EIGENMANN HALL, Bloomington, IN",39.1711586,-86.5088046
251928,2025-04-17 13:00:00,13,Thursday,Day,Theft,Theft,THEFT OF MV PARTS/ACCESSORIES LESS THAN $750,OPEN CASE,FOREST QUAD EAST LOT,"FOREST QUAD EAST LOT, Bloomington, IN",39.164555,-86.5129405
251924,2025-03-07 12:00:00,12,Friday,Day,Fraud,Other,FALSE GOVERNMENT ISSUED IDENTIFICATION,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,FOSTER HARPER HALL,"FOSTER HARPER HALL, Bloomington, IN",39.175024,-86.5181001
251921,2025-04-16 00:00:00,0,Wednesday,Night,Assault,Assault,DOMESTIC BATTERY NO OR MINOR BODILY INJURY,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,FOSTER HALL,"FOSTER HALL, Bloomington, IN",39.1748474,-86.5166317
251921,2025-04-16 00:00:00,0,Wednesday,Night,Stalking,Stalking,STALKING - CLERY,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,FOSTER HALL,"FOSTER HALL, Bloomington, IN",39.1748474,-86.5166317
251920,2025-04-18 08:00:00,8,Friday,Day,Trespassing,Trespassing,CRIMINAL TRESPASS,PROBABLE CAUSE FILED,TENNIS PAVILION,"TENNIS PAVILION, Bloomington, IN",39.169574,-86.5385549
251917,2025-04-18 01:00:00,1,Friday,Night,Larceny,Larceny,ILLEGAL CONSUMPTION/POSSESSION OF ALCOHOL BY MINOR,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,MCNUTT QUAD,"MCNUTT QUAD, Bloomington, IN",39.1762905,-86.5201909
251916,2025-04-18 00:08:00,0,Friday,Night,Larceny,Larceny,ILLEGAL CONSUMPTION/POSSESSION OF ALCOHOL BY MINOR X2,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,DAVID BAKER AVENUE,"DAVID BAKER AVENUE, Bloomington, IN",39.1829108,-86.5133861
251912,2025-04-17 22:36:00,22,Thursday,Night,Fraud,Other,FALSE REPORTING/FALSE INFORMING,OPEN CASE,ALPHA GAMMA DELTA,"ALPHA GAMMA DELTA, Bloomington, IN",39.1782877,-86.5118924
251908,2025-04-15 17:00:00,17,Tuesday,Day,Theft,Theft,THEFT FROM BUILDING LESS THAN $750,OPEN CASE,SRSC,"SRSC, Bloomington, IN",39.1735239,-86.5124023
251905,2025-04-16 20:00:00,20,Wednesday,Night,Theft,Theft,THEFT FROM MOTOR VEHICLE LESS THAN $750,OPEN CASE,WILLKIE PARKING LOT,"WILLKIE PARKING LOT, Bloomington, IN",39.1658259,-86.5095998
251904,2025-04-17 11:00:00,11,Thursday,Day,Misdemeanour,Other,RESISTING LAW ENFORCEMENT,PROBABLE CAUSE FILED,GEOLOGICAL SURVEY,"GEOLOGICAL SURVEY, Bloomington, IN",39.1718996,-86.5212637
251904,2025-04-17 11:00:00,11,Thursday,Day,Larceny,Larceny,POSSESSION OF PARAPHERNALIA,PROBABLE CAUSE FILED,GEOLOGICAL SURVEY,"GEOLOGICAL SURVEY, Bloomington, IN",39.1718996,-86.5212637
251904,2025-04-17 11:00:00,11,Thursday,Day,Larceny,Larceny,POSSESSION MARIJUANA/HASH OIL/HASHISH/SALVIA,PROBABLE CAUSE FILED,GEOLOGICAL SURVEY,"GEOLOGICAL SURVEY, Bloomington, IN",39.1718996,-86.5212637
251902,2025-03-01 06:00:00,6,Saturday,Day,Misdemeanour,Other,CRIMINAL MISCHIEF LOSS LESS THAN $750,OPEN CASE,RAWLES HALL,"RAWLES HALL, Bloomington, IN",39.1647459,-86.5234123
251901,2025-03-14 10:00:00,10,Friday,Day,Theft,Theft,THEFT FROM BUILDING LESS THAN $750,OPEN CASE,RAWLES HALL,"RAWLES HALL, Bloomington, IN",39.1647459,-86.5234123
251900,2025-04-09 12:00:00,12,Wednesday,Day,Misdemeanour,Other,CRIMINAL MISCHIEF LOSS LESS THAN $750,OPEN CASE,RAWLES HALL,"RAWLES HALL, Bloomington, IN",39.1647459,-86.5234123
251896,2025-04-16 19:00:00,19,Wednesday,Night,Theft,Theft,THEFT FROM MOTOR VEHICLE LESS THAN $750,OPEN CASE,WILLKIE PARKING LOT,"WILLKIE PARKING LOT, Bloomington, IN",39.1658259,-86.5095998
251894,2025-04-01 09:00:00,9,Tuesday,Day,Theft,Theft,THEFT FROM BUILDING LESS THAN $750,OPEN CASE,WRIGHT EDUCATION BUILDING,"WRIGHT EDUCATION BUILDING, Bloomington, IN",39.1671809,-86.5124702
251891,2025-04-16 14:03:00,14,Wednesday,Day,Theft,Theft,"THEFT FROM BUILDING $750-$49,999",OPEN CASE,INDIANA MEMORIAL UNION,"INDIANA MEMORIAL UNION, Bloomington, IN",39.1677781,-86.5236605
251883,2025-04-14 11:30:00,11,Monday,Day,Theft,Other,BURGLARY,OPEN CASE,EIGENMANN HALL,"EIGENMANN HALL, Bloomington, IN",39.1711586,-86.5088046
251881,2025-04-16 00:30:00,0,Wednesday,Night,Larceny,Larceny,ILLEGAL CONSUMPTION/POSSESSION OF ALCOHOL BY MINOR,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,MCNUTT QUAD,"MCNUTT QUAD, Bloomington, IN",39.1762905,-86.5201909
251878,2025-04-15 19:13:00,19,Tuesday,Night,Theft,Theft,THEFT FROM BUILDING LESS THAN $750,OPEN CASE,BILL GARRETT FIELDHOUSE,"BILL GARRETT FIELDHOUSE, Bloomington, IN",39.1692551,-86.5208279
251877,2023-10-24 00:00:00,0,Tuesday,Night,Voyeurism,Other,VOYEURISM,OPEN CASE,TETER QUAD,"TETER QUAD, Bloomington, IN",39.1704913,-86.5129409
251875,2025-04-15 13:58:00,13,Tuesday,Day,Stalking,Stalking,STALKING - CLERY,SUSPECT ISSUED TRESPASS WARNING,INDIANA MEMORIAL UNION,"INDIANA MEMORIAL UNION, Bloomington, IN",39.1677781,-86.5236605
251873,2025-04-01 10:00:00,10,Tuesday,Day,Theft,Theft,"THEFT FROM BUILDING $750-$49,999",NO ARREST,EIGENMANN HALL,"EIGENMANN HALL, Bloomington, IN",39.1711586,-86.5088046
251866,2024-12-01 00:00:00,0,Sunday,Night,Assault,Assault,AGGRAVATED BATTERY,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,USA LINDEN HALL,"USA LINDEN HALL, Bloomington, IN",39.1697925,-86.5098558
251866,2024-12-01 00:00:00,0,Sunday,Night,Assault,Assault,DOMESTIC BATTERY WITH SERIOUS BODILY INJURY,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,USA LINDEN HALL,"USA LINDEN HALL, Bloomington, IN",39.1697925,-86.5098558
251865,2024-11-30 23:00:00,23,Saturday,Night,Sexual Assault,Assault,RAPE – SEXUAL ASSAULT WITH AN OBJECT,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,USA LINDEN HALL,"USA LINDEN HALL, Bloomington, IN",39.1697925,-86.5098558
251865,2024-11-30 23:00:00,23,Saturday,Night,Assault,Assault,DOMESTIC BATTERY NO OR MINOR BODILY INJURY,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,USA LINDEN HALL,"USA LINDEN HALL, Bloomington, IN",39.1697925,-86.5098558
251863,2024-01-23 00:00:00,0,Tuesday,Night,Misdemeanour,Other,PUBLIC NUDITY,OPEN CASE,BECK CHAPEL,"BECK CHAPEL, Bloomington, IN",39.1670701,-86.5218877
251862,2025-04-13 00:00:00,0,Sunday,Night,Theft,Theft,ALL OTHER THEFT LESS THAN $750,OPEN CASE,GEOLOGICAL SCIENCES,"GEOLOGICAL SCIENCES, Bloomington, IN",39.1719663,-86.522122
251861,2025-02-12 10:00:00,10,Wednesday,Day,Misdemeanour,Other,HARASSMENT,OPEN CASE,FOSTER EXTERIOR GROUNDS,"FOSTER EXTERIOR GROUNDS, Bloomington, IN",39.169574,-86.5385549
251860,2025-04-13 21:42:00,21,Sunday,Night,Assault,Assault,BATTERY AGAINST PUBLIC SAFETY OFFICIAL,INVESTIGATED BY OTHER AGENCY,IU HEALTH BLOOMINGTON HOSPITAL,"IU HEALTH BLOOMINGTON HOSPITAL, Bloomington, IN",39.1777329,-86.502606
251860,2025-04-13 21:42:00,21,Sunday,Night,Misdemeanour,Other,CRIMINAL RECKLESSNESS,INVESTIGATED BY OTHER AGENCY,IU HEALTH BLOOMINGTON HOSPITAL,"IU HEALTH BLOOMINGTON HOSPITAL, Bloomington, IN",39.1777329,-86.502606
251860,2025-04-13 21:42:00,21,Sunday,Night,Misdemeanour,Other,RESISTING LAW ENFORCEMENT,INVESTIGATED BY OTHER AGENCY,IU HEALTH BLOOMINGTON HOSPITAL,"IU HEALTH BLOOMINGTON HOSPITAL, Bloomington, IN",39.1777329,-86.502606
251859,2025-04-13 00:20:00,0,Sunday,Night,Larceny,Larceny,POSSESSION OF PARAPHERNALIA,INVESTIGATED BY OTHER AGENCY,IU HEALTH BLOOMINGTON HOSPITAL,"IU HEALTH BLOOMINGTON HOSPITAL, Bloomington, IN",39.1777329,-86.502606
251859,2025-04-13 00:20:00,0,Sunday,Night,Larceny,Larceny,POSSESSION MARIJUANA/HASH OIL/HASHISH/SALVIA,INVESTIGATED BY OTHER AGENCY,IU HEALTH BLOOMINGTON HOSPITAL,"IU HEALTH BLOOMINGTON HOSPITAL, Bloomington, IN",39.1777329,-86.502606
251858,2025-04-09 05:08:00,5,Wednesday,Night,Larceny,Larceny,POSSESSION OF PARAPHERNALIA,INVESTIGATED BY OTHER AGENCY,IU HEALTH BLOOMINGTON HOSPITAL,"IU HEALTH BLOOMINGTON HOSPITAL, Bloomington, IN",39.1777329,-86.502606
251858,2025-04-09 05:08:00,5,Wednesday,Night,Larceny,Larceny,POSSESSION OF METHAMPHETAMINE,INVESTIGATED BY OTHER AGENCY,IU HEALTH BLOOMINGTON HOSPITAL,"IU HEALTH BLOOMINGTON HOSPITAL, Bloomington, IN",39.1777329,-86.502606
251858,2025-04-09 05:08:00,5,Wednesday,Night,Larceny,Larceny,POSSESSION OF A HYPODERMIC SYRINGE OR NEEDLE,INVESTIGATED BY OTHER AGENCY,IU HEALTH BLOOMINGTON HOSPITAL,"IU HEALTH BLOOMINGTON HOSPITAL, Bloomington, IN",39.1777329,-86.502606
251857,2025-04-02 19:00:00,19,Wednesday,Night,Larceny,Larceny,ODOR OF MARIJUANA,FAILED TO LOCATE,READ HALL,"READ HALL, Bloomington, IN",39.1660559,-86.5148922
251856,2025-04-02 22:30:00,22,Wednesday,Night,Larceny,Larceny,ODOR OF MARIJUANA,FAILED TO LOCATE,FOREST QUAD,"FOREST QUAD, Bloomington, IN",39.164555,-86.5129405
251855,2025-04-02 17:00:00,17,Wednesday,Day,Larceny,Larceny,ODOR OF MARIJUANA,FAILED TO LOCATE,FOREST QUAD,"FOREST QUAD, Bloomington, IN",39.164555,-86.5129405
251854,2025-04-04 16:15:00,16,Friday,Day,Larceny,Larceny,ILLEGAL CONSUMPTION/POSSESSION OF ALCOHOL BY MINOR,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,FOSTER MARTIN HALL,"FOSTER MARTIN HALL, Bloomington, IN",39.1759089,-86.5178523
251853,2025-04-01 10:00:00,10,Tuesday,Day,Larceny,Larceny,ILLEGAL CONSUMPTION/POSSESSION OF ALCOHOL BY MINOR X2,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,BRISCOE QUAD,"BRISCOE QUAD, Bloomington, IN",39.1784385,-86.5199643
251847,2025-04-15 02:27:00,2,Tuesday,Night,Trespassing,Trespassing,CRIMINAL TRESPASS,SUSPECT ISSUED TRESPASS WARNING,INDIANA MEMORIAL UNION,"INDIANA MEMORIAL UNION, Bloomington, IN",39.1677781,-86.5236605
251843,2025-04-14 20:00:00,20,Monday,Night,Assault,Assault,DOMESTIC BATTERY NO OR MINOR BODILY INJURY,PROBABLE CAUSE FILED,SRSC,"SRSC, Bloomington, IN",39.1735239,-86.5124023
251841,2025-04-14 20:44:00,20,Monday,Night,Theft,Theft,VEHICLE THEFT,OPEN CASE,SWAIN HALL (E & W),"SWAIN HALL (E & W), Bloomington, IN",39.1647452,-86.5251278
251838,2025-03-27 15:55:00,15,Thursday,Day,Theft,Theft,ALL OTHER THEFT LESS THAN $750,OPEN CASE,READ CENTER EXTERIOR GROUNDS,"READ CENTER EXTERIOR GROUNDS, Bloomington, IN",39.169574,-86.5385549
251826,2025-04-14 14:25:00,14,Monday,Day,Misdemeanour,Other,HARASSMENT,OPEN CASE,IU POLICE DEPARTMENT,"IU POLICE DEPARTMENT, Bloomington, IN",39.1792728,-86.5133026
251817,2025-04-03 00:00:00,0,Thursday,Night,Misdemeanour,Other,CRIMINAL MISCHIEF LOSS LESS THAN $750,OPEN CASE,SIGMA DELTA TAU,"SIGMA DELTA TAU, Bloomington, IN",39.1798771,-86.5104392
251804,2025-04-12 22:08:00,22,Saturday,Night,Assault,Assault,BATTERY NO INJURY,OPEN CASE,TETER QUAD EXTERIOR GROUNDS,"TETER QUAD EXTERIOR GROUNDS, Bloomington, IN",39.1704913,-86.5129409
251804,2025-04-12 22:08:00,22,Saturday,Night,Assault,Assault,INTIMIDATION,OPEN CASE,TETER QUAD EXTERIOR GROUNDS,"TETER QUAD EXTERIOR GROUNDS, Bloomington, IN",39.1704913,-86.5129409
251803,2025-04-12 21:15:00,21,Saturday,Night,Misdemeanor,Other,OPERATING WHILE INTOXICATED - ENDANGERMENT,SUSPECT ARRESTED,10TH STREET/EAST OF EAGLESON,"10TH STREET/EAST OF EAGLESON, Bloomington, IN",39.169574,-86.5385549
251802,2025-04-10 19:30:00,19,Thursday,Night,Fraud,Fraud,FRAUD - CREDIT CARD,OPEN CASE,MCNUTT QUAD,"MCNUTT QUAD, Bloomington, IN",39.1762905,-86.5201909
251802,2025-04-10 19:30:00,19,Thursday,Night,Theft,Theft,THEFT FROM BUILDING LESS THAN $750,OPEN CASE,MCNUTT QUAD,"MCNUTT QUAD, Bloomington, IN",39.1762905,-86.5201909
251800,2025-04-12 12:00:00,12,Saturday,Day,Theft,Theft,THEFT FROM COIN OPERATED MACHINE LESS THAN $750,UNFOUNDED,FOREST QUAD,"FOREST QUAD, Bloomington, IN",39.164555,-86.5129405
251796,2025-04-11 19:00:00,19,Friday,Night,Larceny,Larceny,ILLEGAL CONSUMPTION/POSSESSION OF ALCOHOL BY MINOR,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,MCNUTT QUAD,"MCNUTT QUAD, Bloomington, IN",39.1762905,-86.5201909
251793,2025-04-11 20:53:00,20,Friday,Night,Assault,Assault,BATTERY NO INJURY,NO ARREST,WILLKIE EXTERIOR GROUNDS,"WILLKIE EXTERIOR GROUNDS, Bloomington, IN",39.1661675,-86.5106177
251793,2025-04-11 20:53:00,20,Friday,Night,Larceny,Other,PUBLIC INTOXICATION BY ALCOHOL,SUSPECT ARRESTED,WILLKIE EXTERIOR GROUNDS,"WILLKIE EXTERIOR GROUNDS, Bloomington, IN",39.1661675,-86.5106177
251793,2025-04-11 20:53:00,20,Friday,Night,Larceny,Larceny,ILLEGAL CONSUMPTION/POSSESSION OF ALCOHOL BY MINOR,SUSPECT ARRESTED,WILLKIE EXTERIOR GROUNDS,"WILLKIE EXTERIOR GROUNDS, Bloomington, IN",39.1661675,-86.5106177
251789,2025-04-10 20:30:00,20,Thursday,Night,Theft,Theft,THEFT FROM BUILDING LESS THAN $750,OPEN CASE,SRSC,"SRSC, Bloomington, IN",39.1735239,-86.5124023
251788,2025-04-11 12:55:00,12,Friday,Day,Misdemeanor,Misdemeanor,LEAVING THE SCENE OF A PROPERTY DAMAGE CRASH,OPEN CASE,10TH STREET/EAST OF EAGLESON,"10TH STREET/EAST OF EAGLESON, Bloomington, IN",39.169574,-86.5385549
251787,2025-03-18 14:00:00,14,Tuesday,Day,Theft,Theft,"THEFT FROM BUILDING $750-$49,999",OPEN CASE,CHEMISTRY,"CHEMISTRY, Bloomington, IN",39.1659962,-86.5227653
251786,2022-01-01 00:00:00,0,Saturday,Night,Assault,Assault,DOMESTIC BATTERY NO OR MINOR BODILY INJURY,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,TETER QUAD,"TETER QUAD, Bloomington, IN",39.1704913,-86.5129409
251785,2024-05-17 00:00:00,0,Friday,Night,Stalking,Stalking,STALKING - CLERY,REFERRED TO UNIVERSITY OFFICIALS FOR REVIEW,READ HALL,"READ HALL, Bloomington, IN",39.1660559,-86.5148922
251782,2025-04-11 03:00:00,3,Friday,Night,Misdemeanour,Other,CRIMINAL CONVERSION,NO ARREST,DAVID BAKER AVENUE,"DAVID BAKER AVENUE, Bloomington, IN",39.1829108,-86.5133861
251781,2025-04-10 08:00:00,8,Thursday,Day,Misdemeanor,Misdemeanor,LEAVING THE SCENE OF A PROPERTY DAMAGE CRASH,OPEN CASE,PRESIDENTS LOT,"PRESIDENTS LOT, Bloomington, IN",39.169574,-86.5385549
251779,2025-04-10 16:35:00,16,Thursday,Day,Misdemeanour,Other,UNAUTHORIZED CONTROL OF A MOTOR VEHICLE,OPEN CASE,OWEN HALL PARKING LOT,"OWEN HALL PARKING LOT, Bloomington, IN",39.1670136,-86.523292
251777,2025-04-10 18:20:00,18,Thursday,Night,Theft,Theft,THEFT FROM BUILDING LESS THAN $750,OPEN CASE,BILL GARRETT FIELDHOUSE,"BILL GARRETT FIELDHOUSE, Bloomington, IN",39.1692551,-86.5208279
251777,2025-04-10 18:20:00,18,Thursday,Night,Fraud,Fraud,FRAUD,OPEN CASE,BILL GARRETT FIELDHOUSE,"BILL GARRETT FIELDHOUSE, Bloomington, IN",39.1692551,-86.5208279
251776,2025-04-10 18:30:00,18,Thursday,Night,Theft,Theft,THEFT FROM BUILDING LESS THAN $750,VICTIM DECLINED TO PROSECUTE,SRSC,"SRSC, Bloomington, IN",39.1735239,-86.5124023
251763,2025-04-10 02:30:00,2,Thursday,Night,Theft,Theft,ALL OTHER THEFT LESS THAN $750,OPEN CASE,READ CENTER EXTERIOR GROUNDS,"READ CENTER EXTERIOR GROUNDS, Bloomington, IN",39.169574,-86.5385549
251761,2025-04-09 13:00:00,13,Wednesday,Day,Misdemeanour,Other,"CRIMINAL MISCHIEF LOSS $750-$49,999",OPEN CASE,4TH & DUNN PARKING LOT,"4TH & DUNN PARKING LOT, Bloomington, IN",39.1671742,-86.528362
251741,2025-04-09 13:17:00,13,Wednesday,Day,Fraud,Fraud,FRAUD,OPEN CASE,FOREST QUAD,"FOREST QUAD, Bloomington, IN",39.164555,-86.5129405
